x,f(x)
0.0000, 2591467540796072424638526970697116102426624.0000
0.0100, 1941757016758685219107506537746845153624064.0000
0.0200, -3860665523238660088695494437129164058263552.0000
0.0300, 5731766263989498484666498384085113727090688.0000
0.0400, -7526058053457966238876136605263403906236416.0000
0.0500, 9208892461248532529694832818591262947934208.0000
0.0600, -10738780369271531636705040698562819099983872.0000
0.0700, 12066620606572212761669445394234260074790912.0000
0.0800, -13135284954832540120821356720838618059374592.0000
0.0900, 13879434730358988291350440229114906025132032.0000
0.1000, -14225417709476257888952775287103445406842880.0000
0.1100, 14091112197513276330341609308736771963486208.0000
0.1200, -13385652667829787495640461057609153227259904.0000
0.1300, 12009084931219189382009573405029148022276096.0000
0.1400, -9852144688500845242757791440200172516147200.0000
0.1500, 6796508539588278450979724889230605719437312.0000
0.1600, -2716000639211731661751613057527359589056512.0000
0.1700, -2520682813187376017385020626643184223518720.0000
0.1800, 9045177487057470594503483900878611629998080.0000
0.1900, -16982149719474802673833347172427608797216768.0000
0.2000, 26439299039435788157702802646911541110112256.0000
0.2100, -37494828856882740024347596314340424289353728.0000
0.2200, 50182987792051831310646444753468213392572416.0000
0.2300, -64478752461392007625617871556121262546747392.0000
0.2400, 80283152302728028067798980326783285645541376.0000
0.2500, -97411051165966572034337867213456304515317760.0000
0.2600, 115583325468463549905193290689189153024770048.0000
0.2700, -134425258230966221143176476544890547900252160.0000
0.2800, 153472575449770592343726897265881786185940992.0000
0.2900, -172185898354974580389589321031643614479908864.0000
0.3000, 189973527554462034970225304682260649683714048.0000
0.3100, -206221508066285763251939628281238994947145728.0000
0.3200, 220328971930401076066955038545565459215810560.0000
0.3300, -231745953170018732254239750025253407571312640.0000
0.3400, 240010344319355687596774222608464768009240576.0000
0.3500, -244780509194559415367793134037937257634070528.0000
0.3600, 245860328544994248585750458851373371799633920.0000
0.3700, -243214119603680316525213691608727808204865536.0000
0.3800, 236969863145684314547191396071917987819421696.0000
0.3900, -227410367969878390989133434927070407257227264.0000
0.4000, 214953246776783300410546139035913149948624896.0000
0.4100, -200121706247308409079046412019383918680604672.0000
0.4200, 183509023412407296538900856128409082244628480.0000
0.4300, -165740086635876019674861102484232640875462656.0000
0.4400, 147433474715954985530563659165851497965551616.0000
0.4500, -129167244074688100194286829412134468597055488.0000
0.4600, 111450958919293799461868990250432961257144320.0000
0.4700, -94705640450214114168104386570503343596109824.0000
0.4800, 79252357369709660636668204747253005913423872.0000
0.4900, -65309259346256497835041075803069990391775232.0000
0.5000, 52996076391449089940625149332691065753305088.0000
0.5100, -42344545726515681493486198067820183328653312.0000
0.5200, 33312919205656357744173976697841445567987712.0000
0.5300, -25802645080923966938147273199665004687654912.0000
0.5400, 19675471784204211521320736453657525204549632.0000
0.5500, -14769530769444912129579933243835458703589376.0000
0.5600, 10913353221354447213450829854884837900419072.0000
0.5700, -7937196542647226546724744126840477270933504.0000
0.5800, 5681446778054916454481204889487899533246464.0000
0.5900, -4002184458663117102192246346845763007414272.0000
0.6000, 2774233481219139498316681326663551688900608.0000
0.6100, -1892151644652769438282684253754416615653376.0000
0.6200, 1269676202815990839153170888112612472520704.0000
0.6300, -838125318296666189235508058553267867615232.0000
0.6400, 544197300354830802433592687900655068643328.0000
0.6500, -347524434263796030748954698638783886131200.0000
0.6600, 218244573300099590673848145307451604860928.0000
0.6700, -134764572660868088294024365152981296873472.0000
0.6800, 81813421536780257265314122498204195880960.0000
0.6900, -48823564923776604922735493263158776168448.0000
0.7000, 28636980869991083705588375822338160066560.0000
0.7100, -16506366376437735683126769773001379414016.0000
0.7200, 9348303687351151731047071794388824752128.0000
0.7300, -5201139934430159462418901386816772898816.0000
0.7400, 2842317378329367600090597579350922493952.0000
0.7500, -1525370224624914264017596763689698983936.0000
0.7600, 803754204181985295725375632221461807104.0000
0.7700, -415747157661455505154040403984459497472.0000
0.7800, 211058093514212054913398966498604613632.0000
0.7900, -105134628689230380405151498639163523072.0000
0.8000, 51376020540783564770235127530388455424.0000
0.8100, -24623010039330222414731661538121220096.0000
0.8200, 11571187287814358358466244700914319360.0000
0.8300, -5330348697357863836327849558380904448.0000
0.8400, 2406320496656301117639109291376902144.0000
0.8500, -1064252809887746491154057909422260224.0000
0.8600, 460995518977210083913203645109239808.0000
0.8700, -195510284692504388275408927799115776.0000
0.8800, 81155304300766010565374515733331968.0000
0.8900, -32959795032168376220431919519629312.0000
0.9000, 13092129145828798661641043653427200.0000
0.9100, -5084211529008550546635999055708160.0000
0.9200, 1929499792439013032944190892277760.0000
0.9300, -715293229193693824393991774273536.0000
0.9400, 258905655363758801129564280979456.0000
0.9500, -91454163952233737188543435898880.0000
0.9600, 31508091528258992856954541441024.0000
0.9700, -10575410518685061918315218206720.0000
0.9800, 3433482131189183988909431848960.0000
0.9900, -1000541580582348447525212520448.0000
1.0000, -1223832068201005555964727787520.0000
