M,theta,beta_lower,beta_upper
5.000000,0,11.536959,90.000000
5.000000,1,12.178534,89.749951
5.000000,2,12.853229,89.499611
5.000000,3,13.560821,89.248685
5.000000,4,14.300857,88.996875
5.000000,5,15.072683,88.743880
5.000000,6,15.875476,88.489390
5.000000,7,16.708280,88.233084
5.000000,8,17.570043,87.974632
5.000000,9,18.459662,87.713688
5.000000,10,19.376011,87.449892
5.000000,11,20.317978,87.182862
5.000000,12,21.284493,86.912193
5.000000,13,22.274550,86.637455
5.000000,14,23.287229,86.358187
5.000000,15,24.321708,86.073891
5.000000,16,25.377280,85.784028
5.000000,17,26.453364,85.488011
5.000000,18,27.549509,85.185195
5.000000,19,28.665411,84.874872
5.000000,20,29.800916,84.556255
5.000000,21,30.956034,84.228465
5.000000,22,32.130952,83.890516
5.000000,23,33.326053,83.541291
5.000000,24,34.541933,83.179519
5.000000,25,35.779435,82.803738
5.000000,26,37.039688,82.412251
5.000000,27,38.324156,82.003075
5.000000,28,39.634714,81.573857
5.000000,29,40.973742,81.121782
5.000000,30,42.344265,80.643423
5.000000,31,43.750148,80.134548
5.000000,32,45.196388,79.589823
5.000000,33,46.689552,79.002371
5.000000,34,48.238476,78.363071
5.000000,35,49.855429,77.659391
5.000000,36,51.558191,76.873311
5.000000,37,53.374109,75.977261
5.000000,38,55.349034,74.925185
5.000000,39,57.571138,73.628721
5.000000,40,60.259269,71.868846
5.000000,41,64.655148,68.403675
